Hours_Studied,Attendance,Previous_Scores,Exam_Score,Parental_Involvement_encoded,Access_to_Resources_encoded,Extracurricular_Activities_encoded,Sleep_Hours_encoded,Motivation_Level_encoded,Internet_Access_encoded,Tutoring_Sessions_encoded,Family_Income_encoded,Teacher_Quality_encoded,School_Type_encoded,Peer_Influence_encoded,Physical_Activity_encoded,Learning_Disabilities_encoded,Parental_Education_Level_encoded,Distance_from_Home_encoded,Gender_encoded
0.375,0.2,-0.08,67,66.35826477187734,68.09215189873417,66.93143499437991,67.24296381390006,66.75219411461022,67.29289456450557,66.4897554527429,66.84842814371258,67.10017486884837,67.21291866028709,67.62319939347991,67.19607072691552,67.34912043301759,66.89797766374886,67.49379903821817,67.22889355007865
-0.125,-0.8,-0.64,61,66.35826477187734,67.13437782464598,66.93143499437991,67.21872766261616,66.75219411461022,67.29289456450557,67.56701030927834,67.33495873968492,67.10017486884837,67.21291866028709,66.56427015250544,67.31301587301587,67.34912043301759,67.31573655103067,66.98148148148148,67.24489795918367
0.5,0.9,0.64,74,67.09815585960737,67.13437782464598,67.44184865413915,67.24296381390006,67.33064756789018,67.29289456450557,67.56701030927834,67.33495873968492,67.10017486884837,67.21291866028709,67.19791666666667,67.31301587301587,67.34912043301759,67.97088122605363,67.49379903821817,67.22889355007865
1.125,0.45,0.92,71,66.35826477187734,67.13437782464598,67.44184865413915,67.21872766261616,67.33064756789018,67.29289456450557,66.98026617714548,67.33495873968492,67.10017486884837,67.21291866028709,66.56427015250544,67.31301587301587,67.34912043301759,66.89797766374886,66.98148148148148,67.22889355007865
-0.125,0.6,-0.4,70,67.09815585960737,67.13437782464598,67.44184865413915,67.19476744186046,67.33064756789018,67.29289456450557,67.89473684210526,67.33495873968492,67.6769388803287,67.21291866028709,67.19791666666667,67.31301587301587,67.34912043301759,67.31573655103067,67.49379903821817,67.24489795918367
-0.125,0.4,0.56,71,67.09815585960737,67.13437782464598,67.44184865413915,67.21872766261616,67.33064756789018,67.29289456450557,67.89473684210526,67.33495873968492,67.10017486884837,67.21291866028709,67.62319939347991,67.19607072691552,67.34912043301759,67.97088122605363,67.49379903821817,67.22889355007865
1.125,0.2,-0.28,67,67.09815585960737,66.20335110434121,67.44184865413915,67.24296381390006,66.75219411461022,67.29289456450557,66.98026617714548,66.84842814371258,67.10017486884837,67.28770532603285,67.19791666666667,67.18500307314075,67.34912043301759,66.89797766374886,66.98148148148148,67.22889355007865
0.625,-0.1,-1.0,66,66.35826477187734,68.09215189873417,67.44184865413915,67.19476744186046,67.33064756789018,67.29289456450557,66.98026617714548,67.84239558707644,67.6769388803287,67.21291866028709,66.56427015250544,67.18500307314075,67.34912043301759,66.89797766374886,66.45744680851064,67.22889355007865
-0.375,0.7,0.2,69,67.09815585960737,68.09215189873417,66.93143499437991,67.19476744186046,67.70432145564821,67.29289456450557,66.4897554527429,67.33495873968492,66.75342465753425,67.28770532603285,67.19791666666667,66.96912114014252,67.34912043301759,67.31573655103067,67.49379903821817,67.22889355007865
0.375,0.9,-0.16,72,67.09815585960737,67.13437782464598,67.44184865413915,67.21872766261616,67.33064756789018,67.29289456450557,66.4897554527429,67.84239558707644,67.6769388803287,67.21291866028709,67.62319939347991,67.6038781163435,67.34912043301759,66.89797766374886,66.98148148148148,67.22889355007865
